Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
19.6299991607666,19.889999389648438,18.719999313354492,19.110000610351562,14454,0.0,0.0,
19.5,19.760000228881836,18.850000381469727,19.239999771118164,12023,0.0,0.0,
19.239999771118164,20.020000457763672,18.850000381469727,18.979999542236328,11623,0.0,0.0,
19.239999771118164,19.5,18.59000015258789,18.719999313354492,11577,0.0,0.0,
18.719999313354492,18.719999313354492,17.68000030517578,17.809999465942383,12031,0.0,0.0,18.771999740600585
17.549999237060547,19.5,16.899999618530273,19.239999771118164,25031,0.0,0.0,18.797999572753906
19.5,21.84000015258789,19.5,21.059999465942383,25485,0.0,0.0,19.16199951171875
21.450000762939453,21.450000762939453,20.020000457763672,20.93000030517578,104069,0.0,0.0,19.551999664306642
20.93000030517578,21.190000534057617,20.280000686645508,20.540000915527344,13523,0.0,0.0,19.915999984741212
20.540000915527344,21.709999084472656,20.40999984741211,21.190000534057617,15146,0.0,0.0,20.592000198364257
21.450000762939453,24.049999237060547,20.799999237060547,21.969999313354492,44177,0.0,0.0,21.138000106811525
21.709999084472656,23.010000228881836,21.579999923706055,22.8799991607666,20115,0.0,0.0,21.502000045776366
23.270000457763672,24.700000762939453,23.010000228881836,24.309999465942383,25262,0.0,0.0,22.177999877929686
24.440000534057617,26.780000686645508,24.18000030517578,25.479999542236328,30600,0.0,0.0,23.165999603271484
25.219999313354492,26.389999389648438,25.09000015258789,25.610000610351562,21615,0.0,0.0,24.049999618530272
25.479999542236328,28.34000015258789,25.350000381469727,25.739999771118164,49008,0.0,0.0,24.80399971008301
25.219999313354492,26.649999618530273,24.440000534057617,25.219999313354492,21192,0.0,0.0,25.271999740600585
25.219999313354492,25.610000610351562,23.270000457763672,23.270000457763672,22154,0.0,0.0,25.063999938964844
22.6200008392334,23.270000457763672,21.579999923706055,21.709999084472656,15962,0.0,0.0,24.309999847412108
21.84000015258789,22.489999771118164,21.709999084472656,22.100000381469727,10131,0.0,0.0,23.607999801635742
21.579999923706055,23.010000228881836,21.450000762939453,21.709999084472656,14423,0.0,0.0,22.801999664306642
21.450000762939453,22.6200008392334,21.450000762939453,22.229999542236328,8731,0.0,0.0,22.203999710083007
22.100000381469727,22.100000381469727,20.670000076293945,20.93000030517578,20446,0.0,0.0,21.73599967956543
20.93000030517578,21.31999969482422,19.5,19.760000228881836,14262,0.0,0.0,21.345999908447265
19.5,19.889999389648438,17.809999465942383,18.59000015258789,18446,0.0,0.0,20.6439998626709
19.239999771118164,19.6299991607666,17.549999237060547,17.549999237060547,16954,0.0,0.0,19.811999893188478
17.549999237060547,18.200000762939453,17.290000915527344,17.420000076293945,14231,0.0,0.0,18.85
17.68000030517578,18.200000762939453,17.549999237060547,18.06999969482422,12600,0.0,0.0,18.277999877929688
17.940000534057617,18.329999923706055,17.420000076293945,17.809999465942383,9808,0.0,0.0,17.887999725341796
18.06999969482422,18.06999969482422,17.15999984741211,17.68000030517578,10115,0.0,0.0,17.705999755859374
17.549999237060547,20.020000457763672,17.420000076293945,19.6299991607666,15962,0.0,0.0,18.121999740600586
20.020000457763672,20.40999984741211,19.3700008392334,19.760000228881836,12077,0.0,0.0,18.589999771118165
20.540000915527344,21.190000534057617,19.5,20.280000686645508,58746,0.0,0.0,19.03199996948242
20.799999237060547,21.190000534057617,19.6299991607666,20.540000915527344,8085,0.0,0.0,19.578000259399413
20.799999237060547,21.579999923706055,20.40999984741211,20.93000030517578,14908,0.0,0.0,20.228000259399415
21.31999969482422,21.709999084472656,20.40999984741211,21.31999969482422,20131,0.0,0.0,20.566000366210936
20.799999237060547,21.450000762939453,20.670000076293945,20.93000030517578,7908,0.0,0.0,20.800000381469726
21.190000534057617,21.450000762939453,18.59000015258789,18.850000381469727,12969,0.0,0.0,20.51400032043457
18.850000381469727,19.3700008392334,17.940000534057617,19.110000610351562,12785,0.0,0.0,20.228000259399415
18.850000381469727,18.850000381469727,17.68000030517578,17.68000030517578,15600,0.0,0.0,19.578000259399413
17.549999237060547,17.68000030517578,16.639999389648438,16.639999389648438,32038,0.0,0.0,18.642000198364258
16.639999389648438,17.549999237060547,16.25,16.639999389648438,22031,0.0,0.0,17.78400001525879
32.88999938964844,35.22999954223633,25.479999542236328,34.31999969482422,5131169,0.0,0.0,20.87799987792969
32.88999938964844,32.88999938964844,28.729999542236328,28.860000610351562,244954,0.0,0.0,22.827999877929688
27.81999969482422,30.549999237060547,27.040000915527344,29.3799991607666,131492,0.0,0.0,25.16799964904785
28.860000610351562,30.68000030517578,28.209999084472656,28.860000610351562,92708,0.0,0.0,27.611999893188475
27.950000762939453,29.1200008392334,27.170000076293945,28.34000015258789,62669,0.0,0.0,29.952000045776366
27.950000762939453,30.290000915527344,27.950000762939453,30.15999984741211,92069,0.0,0.0,29.120000076293945
29.899999618530273,31.06999969482422,28.989999771118164,30.290000915527344,40938,0.0,0.0,29.4060001373291
29.510000228881836,29.770000457763672,27.81999969482422,28.469999313354492,47069,0.0,0.0,29.22400016784668
27.81999969482422,28.209999084472656,26.1299991607666,26.260000228881836,49154,0.0,0.0,28.704000091552736
26.520000457763672,27.690000534057617,26.260000228881836,26.780000686645508,48308,0.0,0.0,28.392000198364258
27.43000030517578,28.469999313354492,25.739999771118164,26.780000686645508,55862,0.0,0.0,27.716000366210938
26.649999618530273,27.559999465942383,26.1299991607666,26.1299991607666,41900,0.0,0.0,26.88400001525879
26.1299991607666,27.170000076293945,25.350000381469727,26.649999618530273,31915,0.0,0.0,26.520000076293947
